frame,label,id,transform,bbox,image_path,detection_score,raw_pose_score,render_score
1,-1,-1,0.912166795768 -0.31096150277 0.266935723524 3.11551018564 -0.409366946023 -0.72195794274 0.557848933331 -1.33799379638 0.0192468231722 -0.618125935963 -0.785843424028 1.42831241689 0.0 0.0 0.0 1.0,,images/rgb_000001.png,,,
1,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
1,2,2,0.0114412497137 0.981056918759 0.193381539866 0.134905324483 -0.599555985729 0.161504645059 -0.7838678904 -0.0115984508956 -0.800251034227 -0.106974631479 0.590046362957 0.847934036843 0.0 0.0 0.0 1.0,340 154 130 132,,0.96644384,0.08684752,0.616803407669
1,3,3,-0.448090265956 -0.141306151432 0.882750069455 -0.0121434001752 -0.547991707955 0.823585373079 -0.146329153838 -0.00465633558054 -0.706342835716 -0.549308387719 -0.446475188128 0.794028994836 0.0 0.0 0.0 1.0,242 177 143 92,,0.9329608,0.11585122,0.734032869339
2,-1,-1,0.912166795768 -0.31096150277 0.266935723524 3.11551018563 -0.409366946023 -0.72195794274 0.557848933331 -1.33799379638 0.0192468231722 -0.618125935963 -0.785843424028 1.42831241689 0.0 0.0 0.0 1.0,,images/rgb_000002.png,,,
2,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
2,3,3,-0.288577935505 0.322378672324 -0.901551311224 -0.0324343335231 -0.616646862973 -0.782897973768 -0.0825676029402 -0.00873661593728 -0.732440729018 0.53211159948 0.424720877959 0.81080966029 0.0 0.0 0.0 1.0,240 175 138 90,,0.9375642,0.120643474,0.437518894672
2,2,2,-0.0229511803492 -0.998823946761 0.0427079231141 0.135807149243 0.620876495152 -0.0477229757291 -0.782454404649 -0.0117801857029 0.783572345791 0.00855809346217 0.621241609962 0.853417849277 0.0 0.0 0.0 1.0,341 153 128 132,,0.92496955,0.06435799,0.720675766468
3,-1,-1,0.912166795768 -0.31096150277 0.266935723524 3.11551018564 -0.409366946023 -0.72195794274 0.557848933331 -1.33799379638 0.0192468231722 -0.618125935963 -0.785843424028 1.42831241689 0.0 0.0 0.0 1.0,,images/rgb_000003.png,,,
3,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
