frame,label,id,transform,bbox,image_path,detection_score,raw_pose_score,render_score
1,-1,-1,0.914291 -0.306879 0.264381 3.067305 -0.404600 -0.722932 0.560062 -1.319100 0.019258 -0.619028 -0.785133 1.428347 0.000000 0.000000 0.000000 1.000000,,images/rgb_000001.png,,,
1,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
1,4,4,-0.672206071952 0.732764480739 0.105807431674 0.0726597778634 0.472968593243 0.534968396703 -0.700078227296 -0.112658172221 -0.569596090784 -0.420553243117 -0.7061835902 0.81793938012 0.0 0.0 0.0 1.0,347 113 56 81,,0.99855405,0.22697511,0.291396975517
1,2,2,-0.0136416024853 0.997580833961 0.068164407095 0.0904051451122 0.628435299051 -0.0444704885175 0.776589628155 -0.0478843976756 0.777742233383 0.0534308465588 -0.626308360991 0.885029843092 0.0 0.0 0.0 1.0,329 123 119 134,,0.7107176,0.09619954,0.673067450523
2,-1,-1,0.914792 -0.308988 0.260158 3.068686 -0.403620 -0.724291 0.559011 -1.316636 0.015702 -0.616384 -0.787290 1.428890 0.000000 0.000000 0.000000 1.000000,,images/rgb_000002.png,,,
2,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
2,4,4,-0.422576857384 0.906326296333 -0.00120173949966 0.0717512518475 0.660309537904 0.306962144834 -0.685394452701 -0.111258184413 -0.620822127309 -0.290425353945 -0.728170996421 0.817055733086 0.0 0.0 0.0 1.0,348 113 55 81,,0.9980596,0.23025592,0.392478168011
2,2,2,-0.0173348742094 0.995875940057 0.0890539957046 0.0907696893356 0.627776067254 -0.0584819379434 0.776193965654 -0.0472671464443 0.778200945463 0.0693611919533 -0.624173304084 0.885057111733 0.0 0.0 0.0 1.0,329 123 120 134,,0.78644294,0.094290316,0.669491231441
3,-1,-1,0.914792 -0.308988 0.260158 3.068686 -0.403620 -0.724291 0.559011 -1.316636 0.015702 -0.616384 -0.787290 1.428890 0.000000 0.000000 0.000000 1.000000,,images/rgb_000003.png,,,
3,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
3,4,4,-0.850857467576 0.495274203157 0.175342617629 0.0734900010568 0.264948701115 0.692665222573 -0.670833120243 -0.113157290217 -0.453700072346 -0.524326571066 -0.720581633979 0.816957136748 0.0 0.0 0.0 1.0,346 113 57 81,,0.99820054,0.2190016,0.278089910746
3,2,2,-0.0275929767132 -0.14895477173 0.988458953935 0.118289545381 0.61415988252 -0.782716885794 -0.10080632617 -0.0417620008869 0.788699097463 0.604290288414 0.113079533909 0.877841784239 0.0 0.0 0.0 1.0,330 124 117 131,,0.82038885,0.059983905,0.471666634083
4,-1,-1,0.914792 -0.308988 0.260158 3.068686 -0.403620 -0.724291 0.559011 -1.316636 0.015702 -0.616384 -0.787290 1.428890 0.000000 0.000000 0.000000 1.000000,,images/rgb_000004.png,,,
4,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
4,4,4,-0.857697543462 0.486059859023 0.167632745564 0.0731489311262 0.259308656669 0.690467826921 -0.675287494748 -0.112753946827 -0.443975162048 -0.53572380331 -0.718252088094 0.817806763894 0.0 0.0 0.0 1.0,346 114 57 81,,0.9990114,0.21530822,0.286071807146
4,2,2,-0.0261801732355 0.996509277103 0.0792707964993 0.0919502740155 0.623066361057 -0.0457447251506 0.780830154284 -0.047787300204 0.781730713384 0.0698332354196 -0.619693804215 0.884495015675 0.0 0.0 0.0 1.0,329 124 118 133,,0.8055922,0.11690652,0.673777937889
5,-1,-1,0.914792 -0.308988 0.260158 3.068686 -0.403620 -0.724291 0.559011 -1.316636 0.015702 -0.616384 -0.787290 1.428890 0.000000 0.000000 0.000000 1.000000,,images/rgb_000005.png,,,
5,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
5,4,4,0.997571561773 -0.0580338178949 0.0385104547225 0.0770576504127 0.00674034760713 0.630767897105 0.77594228374 -0.096012195966 -0.0693220517333 -0.773798381984 0.629627284337 0.827424498891 0.0 0.0 0.0 1.0,346 113 57 82,,0.99790907,0.20696652,0.388889700174
5,2,2,-0.0045835244834 -0.0209108872302 -0.999770836791 0.0749468670499 0.621356938038 0.783291577873 -0.0192317337975 -0.0403013920377 0.783514228879 -0.621302695011 0.00940288873618 0.874430823161 0.0 0.0 0.0 1.0,329 123 119 134,,0.80104345,0.10158213,0.368920862675
6,-1,-1,0.914792 -0.308988 0.260158 3.068686 -0.403620 -0.724291 0.559011 -1.316636 0.015702 -0.616384 -0.787290 1.428890 0.000000 0.000000 0.000000 1.000000,,images/rgb_000006.png,,,
6,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
6,4,4,-0.553543872447 0.8291629127 0.0779618206475 0.0724079616108 0.552907857558 0.435888189248 -0.710136879429 -0.112911705777 -0.622801800196 -0.349986214981 -0.699733925858 0.817423862574 0.0 0.0 0.0 1.0,347 113 56 81,,0.99867094,0.22381528,0.299952834845
6,2,2,-0.0142853049363 0.997168282297 0.0738332367137 0.0902934848906 0.628343997738 -0.0484870463869 0.776423097827 -0.04781809922 0.777804442369 0.0574841118346 -0.625872052673 0.885193881226 0.0 0.0 0.0 1.0,329 123 119 135,,0.8207355,0.08662731,0.653301179409
7,-1,-1,0.914792 -0.308988 0.260158 3.068686 -0.403620 -0.724291 0.559011 -1.316636 0.015702 -0.616384 -0.787290 1.428890 0.000000 0.000000 0.000000 1.000000,,images/rgb_000007.png,,,
7,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
7,4,4,-0.525273460359 0.85004268217 0.0389259596148 0.072031381054 0.61073601909 0.408460578457 -0.678352025745 -0.112757029849 -0.592527895401 -0.33254683029 -0.733705185231 0.817216170251 0.0 0.0 0.0 1.0,347 113 56 81,,0.9985331,0.2195727,0.316426217556
7,2,2,-0.0213204471581 -0.178981131601 0.983621468383 0.118090055272 0.625643226516 -0.76978299143 -0.126509680342 -0.0400394378167 0.779817922112 0.612698866195 0.128390450252 0.877661166225 0.0 0.0 0.0 1.0,334 121 115 137,,0.732263,0.065594085,0.549996614456
8,-1,-1,0.914792 -0.308988 0.260158 3.068686 -0.403620 -0.724291 0.559011 -1.316636 0.015702 -0.616384 -0.787290 1.428890 0.000000 0.000000 0.000000 1.000000,,images/rgb_000008.png,,,
8,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,1.0,1.0,1.0
8,4,4,0.996135238786 -0.0662121971573 0.0577107528652 0.0788035133093 -0.00533721682749 0.61020799309 0.792223276157 -0.0959343250027 -0.0876704064391 -0.789469537168 0.607496296053 0.825586831453 0.0 0.0 0.0 1.0,347 113 56 83,,0.9981242,0.20553935,0.364667475224
8,2,2,-0.0233293311864 0.99669697334 0.0777874388338 0.0904924491402 0.630830972348 -0.0456861744761 0.774574113812 -0.0482960978324 0.775569485367 0.0671410217055 -0.627681492934 0.885419172197 0.0 0.0 0.0 1.0,329 128 119 127,,0.83152527,0.08652778,0.603385150433
